融资主体,count
赛岚医药科技（深圳）有限公司,4
长沙行深智能科技有限公司,4
光微信息科技（合肥）有限公司,4
广州建瓴科技有限公司,4
合肥新汇成微电子股份有限公司,4
苏州威迈芯材半导体有限公司,4
浙江美华鼎昌医药科技有限公司,4
北京智同精密传动科技有限责任公司,4
南京晶升装备股份有限公司,4
北京超星未来科技有限公司,4
青岛达能环保设备股份有限公司,4
上海快仓智能科技有限公司,4
中海海洋科技股份有限公司,4
中微半导体（深圳）股份有限公司,4
西施生态科技股份有限公司,4
常州易控汽车电子股份有限公司,4
云南铜业股份有限公司,4
恒玄科技（上海）股份有限公司,4
上海海和药物研究开发股份有限公司,4
北京烁科中科信电子装备有限公司,4
江苏和天下节能科技股份有限公司,4
永辉云创科技有限公司,4
上海拜安传感技术有限公司,4
千里马机械供应链股份有限公司,4
未势能源科技有限公司,4
康诺亚生物医药科技有限公司,4
宁波泰睿思微电子有限公司,4
上海灿瑞科技股份有限公司,4
滁州华瑞微电子科技有限公司,4
中国核能电力股份有限公司,4
加特兰微电子科技（上海）有限公司,4
江苏宜明生物科技有限公司,4
珠海亿智电子科技有限公司,4
湖州申科生物技术股份有限公司,4
上海合见工业软件集团有限公司,4
苏州波影医疗技术有限公司,4
江苏关怀医疗科技有限公司,4
酷渲（北京）科技有限公司,4
TCL中环新能源科技股份有限公司,4
未来（北京）黑科技有限公司,4
深圳佰特微医疗科技有限公司,4
维发电子科技（常州）有限公司,4
苏州德品医疗科技股份有限公司,4
深圳百果园实业（集团）股份有限公司,4
上海派拉纶生物技术股份有限公司,4
苏州门海微电子科技有限公司,4
南京米乐为微电子科技有限公司,4
安克创新科技股份有限公司,4
城云科技（中国）有限公司,4
开源网安（深圳）技术有限公司,4
北京卓镭激光技术有限公司,4
上海汉邦联航激光科技有限公司,4
广州瑞派医疗器械有限责任公司,4
晶瑞（湖北）微电子材料有限公司,4
苏州桐力光电股份有限公司,4
青岛高重信息科技有限公司,4
深圳桐汭科技有限公司,4
江苏华存电子科技有限公司,4
嘉兴凯实生物科技股份有限公司,4
上海灵信视觉技术股份有限公司,4
河南建保盒子科技发展有限公司,4
南京三迭纪医药科技有限公司,4
天地壹号饮料股份有限公司,4
赛福解码（北京）基因科技有限公司,4
安徽中科光栅科技有限公司,4
深圳大洲医学科技有限公司,4
中科九微科技有限公司,4
苏州艾博生物科技有限公司,4
北京灵赋生物科技有限公司,4
六安永达机械股份有限公司,4
宽岳医疗生物科技有限公司,4
北京路凯智行科技有限公司,4
上海汇伦医药股份有限公司,4
青岛中科华联新材料股份有限公司,4
蓝固（常州）新能源有限公司,4
深圳腾复医疗科技有限公司,4
北京得瑞领新科技有限公司,4
禹创半导体（深圳）有限公司,4
至微半导体（上海）有限公司,4
蜀海（北京）供应链管理有限责任公司,4
深圳道童新能源有限公司,4
濮阳市盛源能源科技股份有限公司,4
上海赛美特软件科技股份有限公司,4
北京智德医学检验所有限公司,4
上海全应科技有限公司,4
安徽瑞迪微电子有限公司,4
无锡中微亿芯有限公司,4
深圳深知未来智能有限公司,4
上海奕拓医药科技有限责任公司,4
